id,name_display,gif_url,body_part_raw,equipment_raw,target_raw,name_norm,body_part_group,equipment_group,target_group,movement_pattern,exercise_type,compound,unilateral,experience_min,skill_score,fatigue_score,time_per_set_sec,rest_time_sec,warmup_time_sec,default_sets_beginner,default_sets_intermediate,default_sets_advanced,default_reps_beginner,default_reps_intermediate,default_reps_advanced,estimated_total_time_beginner_sec
1,3/4 sit-up,https://v2.exercisedb.io/image/MOnK4iG0MEt9h8,waist,body weight,abs,3_4_sit_up,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
2,45° side bend,https://v2.exercisedb.io/image/PERWLDGUxVbpHS,waist,body weight,abs,45_side_bend,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
3,air bike,https://v2.exercisedb.io/image/PLr4yo3j-f1amp,waist,body weight,abs,air_bike,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
1512,all fours squad stretch,https://v2.exercisedb.io/image/XPQwM7HECjgNFE,upper legs,body weight,quads,all_fours_squad_stretch,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
6,alternate heel touchers,https://v2.exercisedb.io/image/5nYph4eUGNiEdf,waist,body weight,abs,alternate_heel_touchers,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
7,alternate lateral pulldown,https://v2.exercisedb.io/image/Az5UYVYNa4j-oS,back,cable,lats,alternate_lateral_pulldown,back,cable,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1368,ankle circles,https://v2.exercisedb.io/image/ivmTcSJsMlXJeK,lower legs,body weight,calves,ankle_circles,lower legs,bodyweight,upper_legs,general,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3293,archer pull up,https://v2.exercisedb.io/image/LSBkdKcbK4xj8n,back,body weight,lats,archer_pull_up,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3294,archer push up,https://v2.exercisedb.io/image/GSjHZGSiL1VbQ7,chest,body weight,pectorals,archer_push_up,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
2355,arm slingers hanging bent knee legs,https://v2.exercisedb.io/image/osybi41Me6RFK2,waist,body weight,abs,arm_slingers_hanging_bent_knee_legs,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
2333,arm slingers hanging straight legs,https://v2.exercisedb.io/image/yzS2EjySGDLmhh,waist,body weight,abs,arm_slingers_hanging_straight_legs,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
3214,arms apart circular toe touch (male),https://v2.exercisedb.io/image/sGs-MoFgyniLX4,upper legs,body weight,glutes,arms_apart_circular_toe_touch_male,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3204,arms overhead full sit-up (male),https://v2.exercisedb.io/image/WzINsIEOqFbBXG,waist,body weight,abs,arms_overhead_full_sit_up_male,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
9,assisted chest dip (kneeling),https://v2.exercisedb.io/image/AbxK1fjW5YdIBj,chest,leverage machine,pectorals,assisted_chest_dip_kneeling,chest,machine,chest,upper_body,strength,TRUE,FALSE,intermediate,6,7,40,90,180,3,4,5,08-12,06-10,04-08,570
11,assisted hanging knee raise,https://v2.exercisedb.io/image/dgsJoe9nZI6G3Z,waist,assisted,abs,assisted_hanging_knee_raise,waist,machine,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
10,assisted hanging knee raise with throw down,https://v2.exercisedb.io/image/apDkfV7kzgRGlV,waist,assisted,abs,assisted_hanging_knee_raise_with_throw_down,waist,machine,waist,core,core,TRUE,FALSE,intermediate,6,7,40,30,60,2,3,3,10-15,10-20,12-25,200
1708,assisted lying calves stretch,https://v2.exercisedb.io/image/FHWElls92kFz7u,lower legs,assisted,calves,assisted_lying_calves_stretch,lower legs,machine,upper_legs,general,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1709,assisted lying glutes stretch,https://v2.exercisedb.io/image/pIPCvG-7PYwJyb,upper legs,assisted,glutes,assisted_lying_glutes_stretch,upper_legs,machine,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1710,assisted lying gluteus and piriformis stretch,https://v2.exercisedb.io/image/re-rcIyamJTP9k,upper legs,assisted,glutes,assisted_lying_gluteus_and_piriformis_stretch,upper_legs,machine,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
12,assisted lying leg raise with lateral throw down,https://v2.exercisedb.io/image/tcoPW9l8mI0o23,waist,assisted,abs,assisted_lying_leg_raise_with_lateral_throw_down,waist,machine,waist,core,core,TRUE,FALSE,intermediate,6,7,40,30,60,2,3,3,10-15,10-20,12-25,200
13,assisted lying leg raise with throw down,https://v2.exercisedb.io/image/bB-NQ-AJzljNQK,waist,assisted,abs,assisted_lying_leg_raise_with_throw_down,waist,machine,waist,core,core,TRUE,FALSE,intermediate,6,7,40,30,60,2,3,3,10-15,10-20,12-25,200
